RaceTitle,CandidateName,Adair,Andrew,Atchison,Audrain,Barry,Barton,Bates,Benton,Bollinger,Boone,Buchanan,Butler,Caldwell,Callaway,Camden,Cape Girardeau,Carroll,Carter,Cass,Cedar,Chariton,Christian,Clark,Clay,Clinton,Cole,Cooper,Crawford,Dade,Dallas,Daviess,De Kalb,Dent,Douglas,Dunklin,Franklin,Gasconade,Gentry,Greene,Grundy,Harrison,Henry,Hickory,Holt,Howard,Howell,Iron,Jackson,Jasper,Jefferson,Johnson,Kansas City,Knox,Laclede,Lafayette,Lawrence,Lewis,Lincoln,Linn,Livingston,Macon,Madison,Maries,Marion,McDonald,Mercer,Miller,Mississippi,Moniteau,Monroe,Montgomery,Morgan,New Madrid,Newton,Nodaway,Oregon,Osage,Ozark,Pemiscot,Perry,Pettis,Phelps,Pike,Platte,Polk,Pulaski,Putnam,Ralls,Randolph,Ray,Reynolds,Ripley,Saline,Schuyler,Scotland,Scott,Shannon,Shelby,St. Charles,St. Clair,St. Francois,St. Louis City,St. Louis County,Ste. Genevieve,Stoddard,Stone,Sullivan,Taney,Texas,Vernon,Warren,Washington,Wayne,Webster,Worth,Wright,
U. S. Senator ,Charlie L. Bailey - WI ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
U. S. Senator ,Arnie C. (AC) Dienoff - WI ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
U. S. Senator ,Ted Kimzey - WI ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
Governor ,Jeremiah W. (Jay) Nixon - DEM ,5066 ,3692 ,1240 ,4922 ,5491 ,1900 ,3972 ,4213 ,2142 ,45302 ,19685 ,7036 ,1882 ,8012 ,9210 ,14686 ,1902 ,1235 ,23168 ,2453 ,1937 ,15000 ,1822 ,57962 ,5003 ,16810 ,3418 ,4275 ,1557 ,3148 ,1691 ,1815 ,2823 ,2407 ,5657 ,22869 ,3162 ,1429 ,61970 ,1852 ,1453 ,5430 ,2334 ,956 ,2350 ,6950 ,2278 ,94008 ,19457 ,53971 ,10428 ,107474 ,966 ,6128 ,7758 ,6261 ,2101 ,10730 ,2888 ,2906 ,3086 ,2455 ,2068 ,5394 ,2564 ,503 ,4012 ,2938 ,2649 ,1953 ,2338 ,3983 ,4270 ,9880 ,4522 ,2061 ,2712 ,1948 ,3559 ,3647 ,8490 ,8271 ,3655 ,23654 ,5647 ,5829 ,726 ,2279 ,4491 ,5722 ,1795 ,2216 ,5275 ,867 ,921 ,8092 ,1978 ,1426 ,89860 ,2121 ,11930 ,117979 ,324748 ,4884 ,5980 ,6025 ,1104 ,8071 ,4635 ,3759 ,6819 ,4823 ,2865 ,6570 ,486 ,2878 ,
Governor ,David (Dave) Spence - REP ,4656 ,4301 ,1319 ,4633 ,7769 ,3644 ,3513 ,4641 ,3115 ,29171 ,13810 ,9251 ,2092 ,9489 ,11986 ,19797 ,2256 ,1414 ,23837 ,3383 ,1770 ,21902 ,1312 ,43398 ,4461 ,19099 ,3837 ,4978 ,2237 ,3882 ,1697 ,2394 ,3595 ,3869 ,4560 ,22335 ,3775 ,1458 ,59660 ,2352 ,2072 ,4277 ,2177 ,1296 ,2302 ,8849 ,1596 ,73518 ,24218 ,40470 ,9484 ,23806 ,912 ,8751 ,7537 ,9022 ,2046 ,11092 ,2456 ,2922 ,3868 ,2298 ,2337 ,6380 ,4823 ,1090 ,6547 ,1822 ,3568 ,1948 ,2842 ,4575 ,2732 ,14483 ,4118 ,2200 ,4016 ,2334 ,2338 ,4057 ,8073 ,9282 ,3482 ,20154 ,7052 ,6454 ,1485 ,2595 ,5055 ,4252 ,1239 ,2822 ,3489 ,961 ,930 ,8421 ,1601 ,1721 ,89144 ,2335 ,9965 ,19478 ,185704 ,2878 ,6514 ,9434 ,1429 ,12761 ,5831 ,4424 ,7338 ,3697 ,2642 ,8406 ,524 ,4866 ,
Governor ,Jim Higgins - LIB ,281 ,280 ,88 ,335 ,446 ,169 ,243 ,256 ,162 ,3125 ,1368 ,393 ,178 ,640 ,631 ,857 ,106 ,97 ,1454 ,159 ,92 ,852 ,83 ,3138 ,351 ,926 ,226 ,278 ,90 ,237 ,127 ,139 ,215 ,234 ,254 ,1252 ,161 ,95 ,3659 ,163 ,124 ,377 ,156 ,46 ,154 ,520 ,129 ,5135 ,1356 ,2484 ,853 ,3056 ,48 ,474 ,438 ,405 ,94 ,703 ,184 ,169 ,150 ,142 ,132 ,257 ,359 ,52 ,381 ,98 ,194 ,111 ,133 ,310 ,151 ,661 ,266 ,138 ,152 ,153 ,153 ,163 ,496 ,565 ,169 ,1339 ,388 ,396 ,55 ,110 ,349 ,331 ,108 ,160 ,307 ,74 ,62 ,333 ,119 ,65 ,4486 ,183 ,648 ,3663 ,10537 ,199 ,280 ,453 ,70 ,593 ,321 ,283 ,419 ,230 ,136 ,430 ,35 ,216 ,
Governor ,Leonard  Steinman - WI ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,32 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
Governor ,Ronald E. Levy - WI ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,8 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
Lt. Governor ,Susan Montee - DEM ,4045 ,3079 ,870 ,3778 ,4168 ,1131 ,2914 ,3307 ,1302 ,37084 ,17584 ,4198 ,1472 ,6568 ,7147 ,9634 ,1427 ,726 ,17848 ,1816 ,1503 ,11037 ,1320 ,46631 ,4075 ,14026 ,2515 ,3130 ,1144 ,2424 ,1383 ,1539 ,2136 ,1874 ,4032 ,16219 ,2119 ,1177 ,49014 ,1367 ,1130 ,3989 ,1872 ,711 ,1852 ,5212 ,1720 ,78691 ,11765 ,41809 ,7832 ,99592 ,721 ,4914 ,6070 ,4695 ,1539 ,8120 ,2299 ,2197 ,2666 ,1632 ,1674 ,4302 ,1830 ,443 ,2932 ,1831 ,2093 ,1559 ,1793 ,2881 ,2791 ,6015 ,3390 ,1722 ,2052 ,1426 ,2671 ,1986 ,6035 ,6172 ,2738 ,19503 ,4198 ,4278 ,535 ,1905 ,3489 ,4733 ,1275 ,1609 ,4128 ,719 ,677 ,5341 ,1569 ,1173 ,67207 ,1729 ,9266 ,110831 ,284267 ,3830 ,3113 ,4567 ,1011 ,5979 ,3630 ,2687 ,5009 ,3745 ,1795 ,4915 ,412 ,2205 ,
Lt. Governor ,Peter Kinder - REP ,5277 ,4705 ,1578 ,5340 ,8357 ,4222 ,4148 ,5300 ,3804 ,33117 ,15079 ,11633 ,2297 ,10133 ,13229 ,24065 ,2584 ,1818 ,27080 ,3799 ,2048 ,24174 ,1606 ,49173 ,5022 ,20734 ,4373 ,5821 ,2531 ,4196 ,1827 ,2555 ,3978 ,4059 ,5979 ,26217 ,4546 ,1626 ,67867 ,2584 ,2266 ,5280 ,2487 ,1471 ,2566 ,9867 ,1964 ,82607 ,30072 ,47282 ,11162 ,26836 ,1077 ,9500 ,8702 ,10092 ,2357 ,11964 ,2722 ,3359 ,4026 ,2997 ,2592 ,7094 ,5248 ,1082 ,7162 ,2769 ,3908 ,2197 ,3111 ,5176 ,3969 ,17360 ,5003 ,2365 ,4415 ,2655 ,2985 ,5534 ,9746 ,10617 ,4106 ,22665 ,8076 ,7542 ,1508 ,2843 ,5679 ,4837 ,1594 ,3238 ,4265 ,1019 ,1108 ,10971 ,1832 ,1868 ,96668 ,2614 ,11704 ,23007 ,206918 ,3616 ,9202 ,10293 ,1431 ,14003 ,6351 ,5184 ,8324 ,4430 ,3538 ,9464 ,586 ,5138 ,
Lt. Governor ,Matthew Copple - LIB ,268 ,245 ,91 ,293 ,416 ,162 ,214 ,238 ,143 ,3311 ,1124 ,388 ,203 ,609 ,593 ,989 ,117 ,80 ,1509 ,166 ,111 ,966 ,118 ,3711 ,344 ,1004 ,227 ,223 ,93 ,181 ,125 ,125 ,192 ,207 ,230 ,1486 ,161 ,83 ,3927 ,157 ,113 ,373 ,130 ,55 ,183 ,441 ,127 ,4811 ,1561 ,2996 ,827 ,3309 ,36 ,447 ,427 ,387 ,109 ,693 ,217 ,208 ,147 ,135 ,112 ,255 ,327 ,40 ,373 ,87 ,193 ,94 ,138 ,276 ,136 ,747 ,262 ,103 ,191 ,147 ,106 ,150 ,574 ,555 ,155 ,1428 ,374 ,361 ,66 ,86 ,314 ,336 ,97 ,149 ,275 ,69 ,43 ,294 ,112 ,67 ,4843 ,137 ,660 ,3367 ,10871 ,210 ,285 ,461 ,61 ,585 ,340 ,265 ,432 ,220 ,130 ,425 ,23 ,200 ,
Lt. Governor ,Cynthia L. Davis - CST ,145 ,182 ,54 ,306 ,542 ,99 ,291 ,146 ,115 ,1543 ,887 ,239 ,113 ,487 ,528 ,444 ,56 ,47 ,1122 ,117 ,82 ,1041 ,55 ,1864 ,230 ,577 ,249 ,212 ,66 ,375 ,128 ,83 ,178 ,266 ,112 ,1674 ,151 ,64 ,2690 ,202 ,81 ,232 ,110 ,48 ,123 ,586 ,112 ,3741 ,863 ,2648 ,585 ,2299 ,22 ,315 ,304 ,320 ,97 ,1319 ,159 ,93 ,136 ,82 ,89 ,161 ,198 ,44 ,275 ,91 ,111 ,79 ,147 ,179 ,90 ,491 ,150 ,103 ,151 ,118 ,100 ,103 ,382 ,466 ,152 ,740 ,270 ,335 ,66 ,70 ,251 ,230 ,73 ,112 ,247 ,39 ,24 ,148 ,107 ,48 ,10512 ,111 ,544 ,1871 ,8781 ,148 ,144 ,367 ,58 ,532 ,289 ,180 ,604 ,178 ,84 ,407 ,14 ,293 ,
Lt. Governor ,Charles R. Jackson - WI ,0 ,0 ,0 ,19 ,0 ,0 ,0 ,1 ,0 ,47 ,0 ,0 ,0 ,78 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,94 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,2 ,0 ,1 ,1 ,5 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,1 ,5 ,1 ,0 ,3 ,5 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,0 ,10 ,0 ,0 ,3 ,45 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
Secretary of State ,Jason Kander - DEM ,4371 ,3097 ,856 ,4225 ,4054 ,1323 ,3348 ,3364 ,1576 ,39696 ,17149 ,5083 ,1653 ,7165 ,6980 ,10549 ,1605 ,899 ,19482 ,1776 ,1641 ,10636 ,1563 ,50490 ,4336 ,13792 ,2864 ,3665 ,1090 ,2292 ,1470 ,1655 ,2033 ,1850 ,4714 ,18910 ,2445 ,1231 ,46638 ,1544 ,1135 ,4491 ,1852 ,745 ,2109 ,5038 ,2003 ,84321 ,12561 ,45748 ,8788 ,104326 ,823 ,4464 ,6737 ,4478 ,1845 ,9326 ,2582 ,2488 ,2724 ,1966 ,1766 ,5019 ,2017 ,481 ,3141 ,2338 ,2175 ,1769 ,2019 ,3185 ,3576 ,6551 ,3838 ,1754 ,2156 ,1390 ,2957 ,2519 ,6805 ,6844 ,3159 ,20789 ,3900 ,4408 ,550 ,2220 ,3839 ,5058 ,1498 ,1685 ,4705 ,785 ,795 ,6321 ,1615 ,1318 ,76136 ,1767 ,10525 ,114853 ,300324 ,4301 ,4142 ,4290 ,1085 ,5765 ,3528 ,3083 ,5742 ,4197 ,2224 ,4829 ,451 ,2175 ,
